gene,cluster_kmeans,cluster_hdbscan
PABPC1L2A,15,-1
STX1A,12,-1
PTGER4,7,-1
ZNF615,8,-1
TUBA8,13,-1
MGAT4B,9,-1
CTSC,11,-1
CPT1B,1,-1
BDKRB1,0,-1
FANCA,4,-1
CXCR2,0,-1
CXCL5,7,23
CCNE2,3,-1
NEDD4,3,23
PNLIP,1,-1
NRG2,0,-1
TNPO2,5,-1
CHAC1,7,-1
CD1D,11,-1
FCER1G,7,23
NFATC3,6,23
CYTH3,12,-1
KLC3,13,-1
GIT1,13,23
TCOF1,6,-1
GNG8,0,-1
HPSE2,11,-1
LDHA,1,7
ACVRL1,7,23
SFTPA1,11,-1
AP3M2,12,19
SART1,15,15
PRPF31,15,15
NT5M,1,-1
TCF3,6,23
MAG,7,-1
DUSP7,3,-1
PRPH,13,-1
ZNF33B,8,-1
EXOSC7,15,-1
AKR1B10,10,7
RRM2,1,-1
MTOR,7,23
RNASEH2C,4,-1
UNC5D,0,-1
OR7A5,0,8
AP4M1,12,19
ISYNA1,1,-1
GHR,7,-1
VTI1A,12,19
RNPS1,15,14
SLC37A4,2,-1
PPARGC1A,6,23
FPR3,0,-1
CYTH4,5,-1
CYP2E1,10,12
STX3,12,-1
SCARB2,12,-1
HLA-DRB1,7,23
FANCC,4,-1
OR10H1,0,8
UPP1,1,-1
ZNF3,8,-1
PHOSPHO1,11,-1
POLR2K,6,-1
THBS2,11,-1
SLC6A1,2,-1
HTRA2,3,-1
LMO7,5,-1
CYP7B1,10,12
DLX5,6,23
RFX6,6,-1
DGKQ,3,23
SLITRK6,7,-1
UCN,7,23
B3GALT2,9,-1
ORC1,4,18
NIT2,1,-1
DNAH17,13,1
PKP2,13,-1
NFS1,5,-1
LPCAT1,9,-1
THY1,7,23
FRZB,7,-1
SEMA3C,7,-1
ZAP70,3,-1
MAPK11,3,23
ACAT2,1,-1
POP7,15,-1
XXYLT1,9,-1
ESPL1,4,-1
UQCRB,14,0
NQO1,10,-1
PF4,7,23
DVL1,13,23
MT1F,5,2
KMT2B,6,-1
TNFRSF10C,11,-1
COL17A1,11,-1
SFRP4,7,-1
CMPK2,1,-1
ZNF728,8,-1
OSM,7,-1
CA2,2,-1
PRKAG2,3,-1
HYI,1,-1
